id_venta,fecha,cliente,ciudad,producto,categoria,cantidad,precio_unitario,descuento,metodo_pago,edad_cliente,vendedor
V1180,18/05/2026,Natalia Jiménez,MEDELLÍN,Laptop,TECNOLOGÍA,6,2500000,0,Daviplata,37,Luisa
V0343,2026/02/08,Gabriela Muñoz,ARMENIA,Mouse,Tecnología,3,45000,0%,Transferencia,56,Luisa
V0650,27/02/2026,Carlos Vargas,MANIZALES,Audífonos,Tecnología,5,180000,0.15,Transferencia,35,Diana
V0773,26/03/26,Luisa Fernández,cali,Mouse,TECNOLOGÍA,5,45000,0%,Efectivo,23,Diana
V0804,21/05/26,Camila Torres,bogotá,Bolígrafo,Papelería,4,3500,0%,Tarjeta,41,Carlos
V0359,01-04-2026,Diego Restrepo,Armenia,Tablet,Tecnología,2,$1.100.000,5%,Daviplata,64,Luisa
V0045,2026-05-01,Juliana Morales,,Audífonos,tecnologia,4,180000,0.15,Daviplata,25,Andrés
V0232,45/05/2026,Sofía Ramírez,armenia,Mochila,ACCESORIOS,0,140000,10%,Tarjeta,66,Andrés
V0619,20/07/26,Felipe Arias,MEDELLÍN,Agenda,PAPELERÍA,2,25000,15%,Tarjeta,68,María
V0044,14/03/26,Daniel Moreno,Medellín,Escritorio,Oficina,1,580000,5%,Tarjeta,26,Felipe
V0589,01/01/26,Daniel Moreno,Armenia,Mouse,Tecnología,6,45000,0.1,Transferencia,53,María
V0064,45/05/2026,Luisa Fernández,Manizales,Escritorio,OFICINA,6,580000,5%,Nequi,26,Andrés
V1016,15-04-2026,Andrés Martínez,CALI,Laptop,Tecnología,5,2500000,0%,Efectivo,66,Felipe
V0271,01-01-2026,Carlos Vargas,Bogotá,Mochila,accesorios,6,140000,15%,Transferencia,32,Luisa
V1141,21/03/26,Valentina Rodríguez,dosquebradas,Bolígrafo,papeleria,5,3500,0.1,Daviplata,51,Andrés
V0077,21/03/26,Valentina Rodríguez,dosquebradas,Bolígrafo,Papelería,3,99999999,10%,Transferencia,58,María
V0082,2026-01-28,Luisa Fernández,Bogota,Mochila,accesorios,2,140000,15%,Transferencia,39,Andrés
V0644,2026/05/28,Diego Restrepo,cali,Monitor,Tecnología,4,850000,15%,Tarjeta,34,Luisa
V0671,2026-03-31,Mateo Díaz,cartago,Escritorio,oficina,5,$580.00,20%,Efectivo,64,Carlos
V0487,12/02/2026,Juliana Morales,Manizales,Cuaderno,papeleria,1,12000,0,Daviplata,42,Felipe
V0156,03-03-2026,Diego Restrepo,PEREIRA,Audífonos,Tecnología,3,180000,0.05,Daviplata,48,Diana
V0719,2026/04/14,Camila Torres,PEREIRA,Teclado,Tecnología,5,120000,15%,Daviplata,49,Luisa
V0868,2026/01/05,Santiago Hernández,Cali,Mouse,Tecnología,4,45000,15%,Nequi,37,Luisa
V0772,31/01/26,Santiago Hernández,CALI,Bolígrafo,Papelería,6,3500,0.05,Nequi,65,Diana
V1182,2026/06/20,Valentina Rodríguez,Pereira,Laptop,Tecnología,3,2500000,0.2,Nequi,70,María
V0782,07-03-2026,Mariana Castro,Bogotá,Agenda,papeleria,3,-50000,10%,Efectivo,30,Andrés
V1031,12-07-2026,Mateo Díaz,Pereira,Escritorio,Oficina,4,580000,0%,Efectivo,43,Luisa
V0859,08/03/26,Pedro Ruiz,pereira,Agenda,Papelería,5,25000,0.05,Efectivo,23,Carlos
V0733,16/01/2026,Juliana Morales,ARMENIA,Agenda,Papelería,3,25000,0%,Nequi,,Luisa
V0295,21/04/2026,Andrés Martínez,dosquebradas,Bolígrafo,papeleria,3,$3.50,20%,Transferencia,44,Carlos
V0222,10/07/26,Juliana Morales,Bogotá,Monitor,tecnologia,3,850000,15%,Daviplata,25,Carlos
V1193,11/06/2026,Valentina Rodríguez,medellin,Bolígrafo,papeleria,4,3500,10%,Daviplata,46,Carlos
V0185,03/01/2026,Alejandro Ortiz,cali,Impresora,Tecnología,3,650000,5%,Nequi,41,Carlos
V0102,14/04/2026,Laura Gómez,CALI,Cuaderno,PAPELERÍA,3,12000,20%,Nequi,56,Felipe
V0276,21/01/2026,Manuela Cárdenas,cartago,Celular,Tecnología,5,1800000,0%,Efectivo,36,Diana
V0024,20-03-2026,Nicolás Quintero,Armenia,Celular,Tecnología,2,99999999,5%,Transferencia,67,María
V0486,12/06/26,Paula Sánchez,Pereira,Mouse,Tecnologia,5,45000,5%,Daviplata,,Andrés
V0079,2026/04/17,Juan López,Cali,Impresora,Tecnología,3,650000,5%,Tarjeta,61,Carlos
V1044,13/07/26,Laura Gómez,Bogotá,Celular,Tecnología,4,1800000,10%,Nequi,25,María
V1214,08/07/26,Natalia Jiménez,CALI,Teclado,Tecnología,3,120000,0%,Transferencia,43,Diana
V0129,11/07/26,Laura Gómez,,Impresora,TECNOLOGÍA,5,650000,10%,Tarjeta,60,Felipe
V0998,2026-04-06,Nicolás Quintero,Bogotá,Bolígrafo,Papelería,3,3500,0%,Transferencia,52,Luisa
V0622,2026/02/01,Pedro Ruiz,Medellín,Mochila,Accesorios,6,140000,15%,Transferencia,52,María
V0669,05/07/26,Laura Gómez,medellin,Maletín,ACCESORIOS,4,99999999,10%,Daviplata,40,Andrés
V0052,15/03/26,Ana Pérez,cartago,Impresora,Tecnología,6,650000,15%,Efectivo,38,Felipe
V0480,12/04/26,Manuela Cárdenas,MANIZALES,Maletín,Accesorios,3,190000,20%,Daviplata,23,Carlos
V0964,2026-05-28,Gabriela Muñoz,MANIZALES,Teclado,TECNOLOGÍA,2,120000,0.2,Tarjeta,53,Luisa
V0583,13/03/2026,Sofía Ramírez,,Impresora,TECNOLOGÍA,-3,650000,0%,Daviplata,25,Felipe
V0731,14-06-2026,Felipe Arias,cartago,Audífonos,tecnologia,4,180000,15%,Nequi,54,Diana
V0266,2026-02-05,Nicolás Quintero,Cali,Silla ergonómica,OFICINA,4,720000,5%,Tarjeta,28,Luisa
V0240,29/06/2026,Pedro Ruiz,Dosquebradas,Celular,Tecnologia,1,1800000,0%,Efectivo,44,Diana
V0347,17/05/26,Carlos Vargas,armenia,Audífonos,tecnologia,3,180000,15%,Transferencia,57,Felipe
V0307,14-06-2026,Laura Gómez,CARTAGO,Escritorio,Oficina,0,580000,15%,Transferencia,56,Felipe
V1044,13/07/26,Laura Gómez,Bogotá,Celular,Tecnología,4,1800000,10%,Nequi,25,María
V0364,05-05-2026,Natalia Jiménez,Cali,Monitor,tecnologia,2,850000,20%,Efectivo,70,Felipe
V1073,2026-05-04,Paula Sánchez,Bogotá,Teclado,Tecnologia,1,120000,15%,Daviplata,35,Carlos
V1007,2026-03-28,Carlos Vargas,PEREIRA,Celular,tecnologia,4,1800000,0,Nequi,36,Luisa
V0209,09/05/2026,Valentina Rodríguez,cali,Laptop,Tecnología,5,2500000,20%,Nequi,,Carlos
V0426,2026/04/04,Juliana Morales,Dosquebradas,Audífonos,Tecnología,4,180000,0.05,Tarjeta,52,Diana
V0844,2026-01-15,,Cali,Celular,Tecnologia,1,1800000,0%,Tarjeta,38,Felipe
V0977,04-06-2026,Santiago Hernández,armenia,Mochila,accesorios,5,140000,0.2,Nequi,38,Felipe
V0221,2026/05/02,Alejandro Ortiz,MEDELLÍN,Bolígrafo,Papelería,6,3500,0.1,Efectivo,29,Andrés
V0906,11/04/2026,Sofía Ramírez,Cali,Agenda,papeleria,1,25000,10%,Efectivo,55,Diana
V1236,16/02/2026,Valentina Rodríguez,bogotá,Bolígrafo,Papelería,1,3500,15%,Tarjeta,59,Andrés
V0840,27/06/2026,Laura Gómez,Cartago,Agenda,papeleria,4,25000,10%,Daviplata,25,Carlos
